Process,Categorization,Word,Definition
ML Project,Validation,K Fold Cross Validation,"Application of Cross Validation. Method for increasing ability to generlize results by segregating Training Data into K folds, such that the model never predicts on data it has seen. As an example, if Folds = 10 and x=100, each of the iterations would hold out 10 examples (such that all examples were held out in a iteration) and when the data was held out the model would predict. To reiterate, it helps with generalization, it does not increase performance, does not average and does not boost. It does materially increase training time. Primarily useful when data limitation exist, you're early on in development and want to prevent leakage or get cursory results. Also can provide a truer indication of performance based Metrics."
ML Project,Validation,Startified Cross Validation,"Increasing the Principle of Cross Validation and ensuring that the data is split into statistically represented folds, which when data is not IID could be considered valuable to ensure that inference is accurate and representative."
ML Project,Validation,Accuracy,Number of correctly classified examples divided by the total number of classified examples.
ML Project,Process Step,Model Summarization / Model Interpretability,"Process of explaining how a model makes predictions and which features influence its decisions. This may involve feature importance, partial dependence plots, SHAP values, or simpler surrogate models. Interpretability helps stakeholders understand, trust, and validate the model’s behavior. It is especially important in regulated or high-impact decision environments."
ML Project,Process Step,Deployment,"Deployment is the process of integrating the trained model into a production environment where it can generate real-world predictions. This may involve APIs, batch pipelines, streaming systems, or embedded applications. Considerations include scalability, latency, reliability, and versioning. Deployment turns a model from an experiment into a usable product. The goal is to make the model usable and operational in real-world settings."
ML Project,Deployment,Requirement,Package the model with all required preprocessing steps. Ensures predictions in production match training conditions.
ML Project,Deployment,Requirement,Test the model in a staging or test environment. Utilize Dedicated Environment. Reduces risk of failures in production.
ML Project,Deployment,Requirement,"Create a versioned and reproducible deployment artifact. Supports rollback, auditing, and maintenance."
ML Project,Process Step,Monitoring,"Ongoing process of tracking model performance and data quality after deployment. It helps detect issues such as data drift, concept drift, performance degradation, or system failures. Monitoring ensures the model continues to perform as expected over time. When problems are detected, retraining or model updates may be required."
ML Project,Monitoring,Requirement,Track model performance metrics over time. Detects degradation or drift after deployment.
ML Project,Monitoring,Requirement,Monitor input data distributions for drift. Identifies changes in data that could affect predictions.
ML Project,Monitoring,Requirement,Define triggers for retraining or model review. Ensures timely corrective action when performance declines.
ML Project,Process Step,"Bias, Fairness, and Ethics","This step examines whether the model produces systematically unfair or harmful outcomes across different groups. It includes analyzing data representation, outcome disparities, and unintended correlations. Ethical considerations may involve transparency, consent, explainability, and regulatory compliance. Addressing bias and fairness is essential for responsible, trustworthy, and legally compliant ML systems."
ML Project,"Bias, Fairness, and Ethics",Requirement,Evaluate model performance across key demographic or operational groups. Identifies potential unfair or unequal outcomes.
ML Project,"Bias, Fairness, and Ethics",Requirement,Review sensitive features and proxy variables. Prevents unintended discrimination.
ML Project,"Bias, Fairness, and Ethics",Requirement,"Document fairness checks and mitigation steps. Supports transparency, accountability, and compliance."
